Steps,Policy/Entropy,Environment/Episode Length,Environment/Lesson,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
2470000,1.582411,264.7631578947368,2.0,0.5472906,2.221479421383456,2.221479421383456,1.0
2480000,1.5626969,366.6363636363636,2.0,0.64968324,3.138991108962468,3.138991108962468,1.0
2490000,1.5693657,370.65625,2.0,0.6219737,3.958237045642101,3.958237045642101,1.0
2500000,1.5399435,247.04444444444445,2.0,0.66939515,2.0521503951061857,2.0521503951061857,1.0
2510000,1.5349035,266.6060606060606,2.0,0.6937264,2.4433580953063387,2.4433580953063387,1.0
2520000,1.5310516,312.741935483871,2.0,0.73666865,2.8874943116679788,2.8874943116679788,1.0
2530000,1.5158167,323.4230769230769,2.0,0.7904709,3.0636894835366144,3.0636894835366144,1.0
2540000,1.5205986,330.1212121212121,2.0,0.825171,3.123873334942442,3.123873334942442,1.0
2550000,1.5152591,339.7037037037037,2.0,0.8584623,3.3634228303476617,3.3634228303476617,1.0
2560000,1.4843405,428.6363636363636,2.0,0.8663674,4.17773407413846,4.17773407413846,1.0
2570000,1.4856977,387.258064516129,3.0,0.83223224,4.049690991640091,4.049690991640091,1.0
2580000,1.501543,156.6530612244898,3.0,0.71649146,1.0211562824249267,1.0211562824249267,1.0
2590000,1.5083128,234.46511627906978,3.0,0.6980489,1.8555575020256496,1.8555575020256496,1.0
2600000,1.5105054,304.80645161290323,3.0,0.8156436,2.8590692775323987,2.8590692775323987,1.0
2610000,1.5047367,204.69811320754718,3.0,0.7120087,1.5169449962200003,1.5169449962200003,1.0
2620000,1.5117652,262.3333333333333,3.0,0.74233633,1.9430941455066204,1.9430941455066204,1.0
2630000,1.5087911,334.86486486486484,3.0,0.76960266,3.2685034258025034,3.2685034258025034,1.0
2640000,1.4892075,270.7931034482759,3.0,0.69806796,2.581523045416801,2.581523045416801,1.0
2650000,1.4774429,340.81481481481484,3.0,0.75485206,3.200586270008768,3.200586270008768,1.0
2660000,1.4914982,282.97297297297297,3.0,0.7039681,2.5859949439764023,2.5859949439764023,1.0
2670000,1.4874773,341.6774193548387,3.0,0.76973754,3.1656693145632744,3.1656693145632744,1.0
2680000,1.4967071,274.2,3.0,0.7267944,2.4548828207394657,2.4548828207394657,1.0
2690000,1.5126094,287.05128205128204,3.0,0.7268758,2.4424054831266404,2.4424054831266404,1.0
2700000,1.5088102,280.48387096774195,3.0,0.6389068,2.4959737718105317,2.4959737718105317,1.0
2710000,1.5252242,358.4230769230769,3.0,0.67628086,3.435262145904394,3.435262145904394,1.0
2720000,1.5198135,298.25714285714287,3.0,0.691789,2.7443116100298033,2.7443116100298033,1.0
2730000,1.5343363,304.2692307692308,3.0,0.71395624,2.8875005851284814,2.8875005851284814,1.0
2740000,1.5179969,356.4848484848485,3.0,0.7047208,3.521752147060452,3.521752147060452,1.0
2750000,1.5140861,461.22727272727275,3.0,0.7957892,4.879128132354129,4.879128132354129,1.0
